,born out of state,population,income of > $75k,under 18,grad,undergrad,total in poverty,total African American,number of veterans,zipcode
327,193,37,0,58,0,0,0,0,65,59064
328,3398,1483,308,972,24,126,276,0,1260,59079
329,269,94,38,70,6,4,42,0,106,59243
330,145,27,8,22,0,5,14,0,71,59250
331,383,90,39,88,1,0,33,0,163,59259
332,8750,4000,1051,2160,37,78,449,0,3380,59270
333,96,28,21,7,0,0,6,0,43,59315
334,2336,675,300,690,18,5,152,0,829,59323
335,1121,556,81,249,20,9,116,0,434,59353
336,531,121,49,88,0,19,50,0,237,59433
337,65,36,1,5,0,0,19,0,27,59441
338,593,148,35,124,0,33,159,0,225,59446
339,1959,1031,71,192,0,10,206,5,872,59872
340,1260,530,83,293,8,23,122,7,487,59487
341,124,18,10,0,0,0,10,0,66,59463
342,269,114,22,36,8,6,26,0,137,59471
343,623,100,54,232,4,0,12,0,216,59480
344,817,75,23,252,13,31,287,0,304,59524
345,1126,103,16,434,4,44,525,0,320,59527
346,5063,2285,767,1262,41,155,192,6,1925,59634
347,7027,2413,558,1713,7,237,594,13,2793,59635
348,529,262,25,57,2,8,72,0,222,59648
349,33443,9789,2351,6807,245,2274,6355,185,13268,59701
350,47520,19396,4107,9523,394,2367,4863,350,17156,59102
351,119,45,11,41,0,2,6,0,27,59338
352,472,176,40,86,4,8,50,0,213,59452
353,12528,3334,679,3102,37,845,2334,17,4776,59501
354,35,10,0,0,0,0,3,0,15,59642
355,111,40,10,15,0,0,0,0,49,59736
356,1366,498,60,390,4,33,146,16,464,59824
357,174,30,11,53,0,0,0,0,61,59469
358,2278,1451,273,310,59,11,131,6,966,59729
359,32067,15321,1448,5000,1182,6295,7821,137,13293,59801
360,1216,582,127,221,0,0,223,0,475,59932
